product,version,platform,package,url
community-server,8.3.4,Ubuntu 24.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-server_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 24.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-mongos_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 24.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2404-8.3.4.tgz
community-server,8.3.4,Ubuntu 24.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-server_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 24.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-mongos_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 24.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2404-8.3.4.tgz
community-server,8.3.4,Ubuntu 22.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-server_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 22.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-mongos_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 22.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2204-8.3.4.tgz
community-server,8.3.4,Ubuntu 22.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-server_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 22.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-mongos_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 22.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2204-8.3.4.tgz
community-server,8.3.4,Ubuntu 20.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-server_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 20.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.3/multiverse/binary-arm64/mongodb-org-mongos_8.3.4_arm64.deb
community-server,8.3.4,Ubuntu 20.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2004-8.3.4.tgz
community-server,8.3.4,Ubuntu 20.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-server_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 20.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.3/multiverse/binary-amd64/mongodb-org-mongos_8.3.4_amd64.deb
community-server,8.3.4,Ubuntu 20.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2004-8.3.4.tgz
community-server,8.3.4,macOS ARM 64,tgz,https://fastdl.mongodb.org/osx/mongodb-macos-arm64-8.3.4.tgz
community-server,8.3.4,macOS x64,tgz,https://fastdl.mongodb.org/osx/mongodb-macos-x86_64-8.3.4.tgz
community-server,8.3.4,Debian 12.0 x64,server,https://repo.mongodb.org/apt/debian/dists/bookworm/mongodb-org/8.3/main/binary-amd64/mongodb-org-server_8.3.4_amd64.deb
community-server,8.3.4,Debian 12.0 x64,mongos,https://repo.mongodb.org/apt/debian/dists/bookworm/mongodb-org/8.3/main/binary-amd64/mongodb-org-mongos_8.3.4_amd64.deb
community-server,8.3.4,Debian 12.0 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-debian12-8.3.4.tgz
community-server,8.3.4,Windows x64,msi,https://fastdl.mongodb.org/windows/mongodb-windows-x86_64-8.3.4-signed.msi
community-server,8.3.4,Windows x64,zip,https://fastdl.mongodb.org/windows/mongodb-windows-x86_64-8.3.4.zip
community-server,8.3.4,SUSE 15 x64,server,https://repo.mongodb.org/zypper/suse/15/mongodb-org/8.3/x86_64/RPMS/mongodb-org-server-8.3.4-1.suse15.x86_64.rpm
community-server,8.3.4,SUSE 15 x64,mongos,https://repo.mongodb.org/zypper/suse/15/mongodb-org/8.3/x86_64/RPMS/mongodb-org-mongos-8.3.4-1.suse15.x86_64.rpm
community-server,8.3.4,SUSE 15 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-suse15-8.3.4.tgz
community-server,8.3.4,RedHat / CentOS 9.3 x64,server,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.3/x86_64/RPMS/mongodb-org-server-8.3.4-1.el9.x86_64.rpm
community-server,8.3.4,RedHat / CentOS 9.3 x64,mongos,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.3/x86_64/RPMS/mongodb-org-mongos-8.3.4-1.el9.x86_64.rpm
community-server,8.3.4,RedHat / CentOS 9.3 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-rhel93-8.3.4.tgz
community-server,8.3.4,RedHat / CentOS 9.3 ARM 64,server,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.3/aarch64/RPMS/mongodb-org-server-8.3.4-1.el9.aarch64.rpm
community-server,8.3.4,RedHat / CentOS 9.3 ARM 64,mongos,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.3/aarch64/RPMS/mongodb-org-mongos-8.3.4-1.el9.aarch64.rpm
community-server,8.3.4,RedHat / CentOS 9.3 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-rhel93-8.3.4.tgz
community-server,8.3.4,RedHat / CentOS 8.0 x64,server,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.3/x86_64/RPMS/mongodb-org-server-8.3.4-1.el8.x86_64.rpm
community-server,8.3.4,RedHat / CentOS 8.0 x64,mongos,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.3/x86_64/RPMS/mongodb-org-mongos-8.3.4-1.el8.x86_64.rpm
community-server,8.3.4,RedHat / CentOS 8.0 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-rhel8-8.3.4.tgz
community-server,8.3.4,RedHat / CentOS 8.0 ARM 64,server,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.3/aarch64/RPMS/mongodb-org-server-8.3.4-1.el8.aarch64.rpm
community-server,8.3.4,RedHat / CentOS 8.0 ARM 64,mongos,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.3/aarch64/RPMS/mongodb-org-mongos-8.3.4-1.el8.aarch64.rpm
community-server,8.3.4,RedHat / CentOS 8.0 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-rhel8-8.3.4.tgz
community-server,8.3.4,Amazon Linux 2023 ARM 64,server,https://repo.mongodb.org/yum/amazon/2023/mongodb-org/8.3/aarch64/RPMS/mongodb-org-server-8.3.4-1.amzn2023.aarch64.rpm
community-server,8.3.4,Amazon Linux 2023 ARM 64,mongos,https://repo.mongodb.org/yum/amazon/2023/mongodb-org/8.3/aarch64/RPMS/mongodb-org-mongos-8.3.4-1.amzn2023.aarch64.rpm
community-server,8.3.4,Amazon Linux 2023 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-amazon2023-8.3.4.tgz
community-server,8.3.4,Amazon Linux 2023 x64,server,https://repo.mongodb.org/yum/amazon/2023/mongodb-org/8.3/x86_64/RPMS/mongodb-org-server-8.3.4-1.amzn2023.x86_64.rpm
community-server,8.3.4,Amazon Linux 2023 x64,mongos,https://repo.mongodb.org/yum/amazon/2023/mongodb-org/8.3/x86_64/RPMS/mongodb-org-mongos-8.3.4-1.amzn2023.x86_64.rpm
community-server,8.3.4,Amazon Linux 2023 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-amazon2023-8.3.4.tgz
community-server,8.2.11,Ubuntu 24.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-server_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 24.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-mongos_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 24.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2404-8.2.11.tgz
community-server,8.2.11,Ubuntu 24.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-server_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 24.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/noble/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-mongos_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 24.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2404-8.2.11.tgz
community-server,8.2.11,Ubuntu 22.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-server_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 22.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-mongos_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 22.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2204-8.2.11.tgz
community-server,8.2.11,Ubuntu 22.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-server_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 22.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/jammy/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-mongos_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 22.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2204-8.2.11.tgz
community-server,8.2.11,Ubuntu 20.04 ARM 64,server,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-server_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 20.04 ARM 64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.2/multiverse/binary-arm64/mongodb-org-mongos_8.2.11_arm64.deb
community-server,8.2.11,Ubuntu 20.04 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-ubuntu2004-8.2.11.tgz
community-server,8.2.11,Ubuntu 20.04 x64,server,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-server_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 20.04 x64,mongos,https://repo.mongodb.org/apt/ubuntu/dists/focal/mongodb-org/8.2/multiverse/binary-amd64/mongodb-org-mongos_8.2.11_amd64.deb
community-server,8.2.11,Ubuntu 20.04 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-ubuntu2004-8.2.11.tgz
community-server,8.2.11,macOS ARM 64,tgz,https://fastdl.mongodb.org/osx/mongodb-macos-arm64-8.2.11.tgz
community-server,8.2.11,macOS x64,tgz,https://fastdl.mongodb.org/osx/mongodb-macos-x86_64-8.2.11.tgz
community-server,8.2.11,Debian 12.0 x64,server,https://repo.mongodb.org/apt/debian/dists/bookworm/mongodb-org/8.2/main/binary-amd64/mongodb-org-server_8.2.11_amd64.deb
community-server,8.2.11,Debian 12.0 x64,mongos,https://repo.mongodb.org/apt/debian/dists/bookworm/mongodb-org/8.2/main/binary-amd64/mongodb-org-mongos_8.2.11_amd64.deb
community-server,8.2.11,Debian 12.0 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-debian12-8.2.11.tgz
community-server,8.2.11,Windows x64,msi,https://fastdl.mongodb.org/windows/mongodb-windows-x86_64-8.2.11-signed.msi
community-server,8.2.11,Windows x64,zip,https://fastdl.mongodb.org/windows/mongodb-windows-x86_64-8.2.11.zip
community-server,8.2.11,SUSE 15 x64,server,https://repo.mongodb.org/zypper/suse/15/mongodb-org/8.2/x86_64/RPMS/mongodb-org-server-8.2.11-1.suse15.x86_64.rpm
community-server,8.2.11,SUSE 15 x64,mongos,https://repo.mongodb.org/zypper/suse/15/mongodb-org/8.2/x86_64/RPMS/mongodb-org-mongos-8.2.11-1.suse15.x86_64.rpm
community-server,8.2.11,SUSE 15 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-suse15-8.2.11.tgz
community-server,8.2.11,RedHat / CentOS 9.3 x64,server,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.2/x86_64/RPMS/mongodb-org-server-8.2.11-1.el9.x86_64.rpm
community-server,8.2.11,RedHat / CentOS 9.3 x64,mongos,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.2/x86_64/RPMS/mongodb-org-mongos-8.2.11-1.el9.x86_64.rpm
community-server,8.2.11,RedHat / CentOS 9.3 x64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-x86_64-rhel93-8.2.11.tgz
community-server,8.2.11,RedHat / CentOS 9.3 ARM 64,server,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.2/aarch64/RPMS/mongodb-org-server-8.2.11-1.el9.aarch64.rpm
community-server,8.2.11,RedHat / CentOS 9.3 ARM 64,mongos,https://repo.mongodb.org/yum/redhat/9/mongodb-org/8.2/aarch64/RPMS/mongodb-org-mongos-8.2.11-1.el9.aarch64.rpm
community-server,8.2.11,RedHat / CentOS 9.3 ARM 64,tgz,https://fastdl.mongodb.org/linux/mongodb-linux-aarch64-rhel93-8.2.11.tgz
community-server,8.2.11,RedHat / CentOS 8.0 x64,server,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.2/x86_64/RPMS/mongodb-org-server-8.2.11-1.el8.x86_64.rpm
community-server,8.2.11,RedHat / CentOS 8.0 x64,mongos,https://repo.mongodb.org/yum/redhat/8/mongodb-org/8.2/x86_64/RPMS/mongodb-org-mongos-8.2.11-1.el8.x86_64.rpm
