product,version,platform,package,url
shell,2.9.2,MacOS x64 (11.0+),zip,https://downloads.mongodb.com/compass/mongosh-2.9.2-darwin-x64.zip
shell,2.9.2,MacOS Apple Silicon (11.0+),zip,https://downloads.mongodb.com/compass/mongosh-2.9.2-darwin-arm64.zip
shell,2.9.2,Linux x64,tgz,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-x64.tgz
shell,2.9.2,Linux x64,tgz with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-x64-openssl11.tgz
shell,2.9.2,Linux x64,tgz with shared OpenSSL 3,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-x64-openssl3.tgz
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) x64,deb,https://downloads.mongodb.com/compass/mongodb-mongosh_2.9.2_amd64.deb
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) x64,deb with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl11_2.9.2_amd64.deb
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) x64,deb with shared OpenSSL 3,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl3_2.9.2_amd64.deb
shell,2.9.2,RHEL / CentOS (7+) x64,rpm,https://downloads.mongodb.com/compass/mongodb-mongosh-2.9.2.x86_64.rpm
shell,2.9.2,RHEL / CentOS (7+) x64,rpm with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl11-2.9.2.x86_64.rpm
shell,2.9.2,RHEL / CentOS (7+) x64,rpm with shared OpenSSL 3,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl3-2.9.2.x86_64.rpm
shell,2.9.2,Linux arm64,tgz,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-arm64.tgz
shell,2.9.2,Linux arm64,tgz with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-arm64-openssl11.tgz
shell,2.9.2,Linux arm64,tgz with shared OpenSSL 3,https://downloads.mongodb.com/compass/mongosh-2.9.2-linux-arm64-openssl3.tgz
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) arm64,deb,https://downloads.mongodb.com/compass/mongodb-mongosh_2.9.2_arm64.deb
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) arm64,deb with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl11_2.9.2_arm64.deb
shell,2.9.2,Debian (10+) / Ubuntu (18.04+) arm64,deb with shared OpenSSL 3,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl3_2.9.2_arm64.deb
shell,2.9.2,RHEL / CentOS (7+) arm64,rpm,https://downloads.mongodb.com/compass/mongodb-mongosh-2.9.2.aarch64.rpm
shell,2.9.2,RHEL / CentOS (7+) arm64,rpm with shared OpenSSL 1.1,https://downloads.mongodb.com/compass/mongodb-mongosh-shared-openssl11-2.9.2.aarch64.rpm
